Recettes,Ingrédients
Boulettes de petits pois au poisson.html,"['200 g petits pois', '2 c. à soupe polenta', '10 g limande', '1 c. à café huile(s) végétale(s)', '1 pincée(s) origan']"
Boulettes de petits pois.html,"['200 g petits pois', '½  échalote(s)', '1 c. à soupe huile d’olive', '2 c. à soupe polenta', '1 pincée(s) muscade moulue', '1 pincée(s) poivre']"
"Boulettes de porc au sésame, purée de fenouil et navet, boulgour.html","['90 g fenouil', '90 g navet(s)', '25 g porc', '10 g oignon(s)', '1 c. à café graines de sésame', '1 pincée coriandre', '20 g boulgour', '½  citron(s)', ""1 c. à café huile d'olive""]"
Boulettes de poulet (natures).html,['50 g poulet']
Boulettes de poulet et butternut.html,"['100 g poulet', '100 g butternut', '¼  oignon(s)', '  coriandre', '  huile d’olive']"
Boulettes d’aubergine sauce au fromage blanc citronné.html,"['150 g aubergine(s)', '150 g pois chiches', '30 g fromage blanc', '1 c. à soupe jus de citron', '½ c. à café paprika', '1 c. à café huile d’olive']"
"Boulettes d’avoine aux champignons, carottes vapeur.html","['120 g carotte(s)', '120 g champignons', ""30 g flocons d'avoine"", '1 c. à café fécule de maïs', '1 pincée persil', ""1 c. à café huile d'olive""]"
Boulettes d’avoine aux champignons.html,"['100 g champignons de Paris', ""30 g flocons d'avoine"", '1 c. à café fécule de maïs', '  persil', '  huile d’olive']"
"Boulettes façon falafels, purée de butternut.html","['180 g butternut', '80 g pois chiches', '20 g oignon(s)', '1 c. à café huile de sésame', '1 pincée cumin', '1 pincée herbes aromatiques']"
"Boulgour au boeuf, poivrons et parmesan.html","['20 g boulgour', '200 g poivron(s) rouge(s)', '10 g parmesan', '15 g boeuf haché']"
Boulgour aux poivrons et parmesan.html,"['20 g boulgour', '200 g poivron(s) rouge(s)', '10 g parmesan', ' c. à café huile(s) végétale(s)']"
Boulgour à la sauce bolognaise.html,"['20 g boulgour', '120 g tomate(s)', '½  oignon(s) jaune(s)', '½ gousse ail', '1 feuilles basilic', '15 g boeuf haché', '  parmesan', '1 c. à café huile(s) végétale(s)']"
Boulgour à la sauce tomates et basilic.html,"['20 g boulgour', '150 g tomate(s)', '1 feuilles basilic', '1 c. à café huile(s) végétale(s)', '½  oignon(s)', '½ gousse ail', '  parmesan']"
"Butternut et carotte aux amandes et coriandre, riz.html","['20 g riz', '75 g butternut', '75 g carotte(s)', '10 g oignon(s)', '1 c. à soupe lait de coco', ""2 c. à café poudre d'amandes"", '1 pincée coriandre', ""1 c. à café huile d'olive"", '1 pincée curry']"
Butternut et coing aux épices.html,"['160 g butternut', '½  coing(s)', '  épices', '1 c. à café huile(s) végétale(s)']"
Butternut et riz.html,"['150 g butternut', '25 g riz', '1 c. à café huile(s) végétale(s)']"
Butternut rôti aux herbes de Provence.html,"['200 g butternut', '1 c. à café huile(s) végétale(s)', '1 c. à café herbes de Provence', '1 pincée paprika']"
"Bâtonnets de betterave, avoine et pois chiche.html","['100 g betterave(s)', ""30 g flocons d'avoine"", '20 g pois chiches', '  herbes aromatiques', '1 c. à café huile(s) végétale(s)']"
Bâtonnets de carotte et boulettes de boeuf aux herbes de Provence.html,"['200 g carotte(s)', '10 g boeuf haché', '¼ c. à café herbes de Provence']"
Bâtonnets de carotte sauce fromage blanc curry.html,"['200 g carotte(s)', '30 g fromage blanc', '¼ c. à café curry']"
Bâtonnets de carottes et crème de betterave.html,"['150 g carotte(s)', '50 g betterave(s)', '1 c. à café crème fraîche']"
Bâtonnets de carottes et crème de petits pois.html,"['150 g carotte(s)', '50 g petits pois', '1 c. à café crème fraîche', '  craquotte(s)']"
Bâtonnets de carottes et sauce à l’orange.html,"['200 g carotte(s)', '30 g fromage blanc', ""  zestes d'orange""]"
Bâtonnets de navet au sésame.html,"['200 g navet(s)', '1 c. à café graines de sésame']"
Bâtonnets de panais et crème de champignons.html,"['150 g panais', '50 g champignons', '1 c. à café crème fraîche', '  persil']"
Bâtonnets de panais et crème de poireaux au saumon.html,"['150 g panais', '50 g blanc(s) de poireau', '10 g saumon', '1 c. à café crème fraîche']"
Bâtonnets de panais pané.html,"['300 g panais', '  chapelure', '  huile(s) végétale(s)']"
Cake au concombre.html,"['200 g concombre', '100 g farine', '1  oeuf(s)', '60 mL lait', '50 g fromage blanc', '1 c. à café poudre à lever', '1 pincée(s) épices']"
Cake courgette concombre et poisson.html,"['100 g courgette(s)', '100 g concombre', '100 g farine', '60 mL lait', '1  oeuf(s)', '20 g poisson blanc', '50 g fromage blanc', '1 c. à soupe huile d’olive', '1 c. à café poudre à lever', '  menthe']"
Cake courgette feta.html,"['1  courgette(s)', '1 gousse(s) ail', '100 g farine', '1 c. à café poudre à lever', '1  oeuf(s)', '60 g lait', '75 g feta', '  menthe', '  huile d’olive']"
Cake façon tomate mozzarella.html,"['150 g pulpe de tomates', '100 g farine', '50 g fromage blanc', '1  oeuf(s)', '30 g mozzarella', '¼  oignon(s)', '1 c. à café poudre à lever', '1 filet huile d’olive', '  basilic']"
Cake salé patate chouchou.html,"['500 g patate(s) douce(s)', '500 g chayote(s)', '80 g farine', '3  oeuf(s)', '40 g beurre', '40 g fromage râpé']"
Cake sans oeuf au pesto de courgettes et tomates.html,"['60 mL lait', '60 g farine', '40 g tomate(s)', '40 g courgette(s)', '1 c. à café huile d’olive', '1 c. à café poudre à lever', '  basilic']"
Cakes de polenta aux épinards et jambon.html,"['25 g polenta', '65 g épinards', '15 g jambon blanc', '1 c. à café huile(s) végétale(s)']"
"Canard aux pruneaux, pomme de terre écrasée et carotte.html","['100 g carotte(s)', '75 g pomme(s) de terre', '20 g canard', '2  pruneau(x)', '1 c. à café huile(s) végétale(s)']"
"Canard et riz aux pousses d’épinards, sauce forestière.html","['20 g riz', '20 g canard', ""50 g pousses d'épinards"", '125 g champignons', '1 c. à café crème fraîche', '1  échalote(s)', '  persil']"
"Canard et épinards, riz et sa sauce forestière.html","['20 g riz', '15 g canard', ""50 g pousses d'épinards"", '120 g champignons', '1 c. à café crème fraîche', '1  échalote(s)', '  persil']"
Cappuccino de courgettes.html,"['200 g courgette(s)', '10 g fromage de chèvre', '20 mL lait', '1 c. à café huile(s) végétale(s)', '  herbes aromatiques']"
Cari bringelle à la créole.html,"['1  aubergine(s)', '1  tomate(s)', '¼  oignon(s)', '1  oignon(s) vert(s)', '½ gousse ail', '1 bout gingembre frais', '1 pincée cumin', '1 pincée curcuma', '1 pincée thym', '1 c. à café huile d’olive', '  riz', '  légumineuses au choix']"
"Cari d’agneau aux amandes, riz.html","['20 g riz', '20 g agneau', '50 g poivron(s) vert(s)', '50 g tomate(s)', '50 g courgette(s)', '20 mL lait de coco', ""1 c. à café poudre d'amandes"", '1 pincée curry', '1 pincée persil']"
Carottes aux herbes et semoule.html,"['30 g semoule de couscous', '180 g carotte(s)', '1 c. à café huile(s) végétale(s)', '1 pincée herbes aromatiques']"
Carottes braisées.html,"['200 g carotte(s)', '10 g oignon(s)', '1 filet huile d’olive', '1 brin(s) thym', '1  feuille(s) de laurier']"
"Carottes vapeur, écrasé de pomme de terre au persil et truite.html","['100 g pomme(s) de terre', '¼ gousse ail', '1 c. à soupe crème', '1 pincée persil', '150 g carotte(s)', '20 g truite']"
"Cassolette de riz, lapin, carottes et champignons.html","['20 g lapin', '75 g champignons', '75 g carotte(s)', '20 g oignon(s) jaune(s)', '20 g riz', '1 c. à café crème', ""1 c. à café huile d'olive"", '1 pincée herbes aromatiques']"
Caviar d’aubergines et semoule.html,"['30 g semoule de couscous', '150 g aubergine(s)', ""1 c. à café huile d'olive"", '½ gousse(s) ail']"
Champignons à la crème et quinoa.html,"['15 g quinoa', '200 g champignons', '1 c. à café crème']"
Chili con carne aux carottes.html,"['15 g riz', '60 g carotte(s)', '50 g coulis de tomates', '40 g haricots rouges', '20 g boeuf haché', '10 g oignon(s)', ""1 c. à café huile d'olive"", '1 pincée épices mexicaines', '1 pincée coriandre']"
Chili con carne.html,"['20 g riz', '75 g tomate(s)', '20 g haricots rouges', '20 g maïs', '60 g carotte(s)', '20 g boeuf haché', '¼  oignon(s)', '1 pincée épices mexicaines', '1 pincée coriandre', ""1 c. à café huile d'olive""]"
Chili sin carne.html,"['100 g tomates concassées', '60 g carotte(s)', '20 g riz', '20 g maïs', '20 g haricots rouges', '20 g oignon(s)', ""1 c. à soupe huile d'olive"", '1 pincée épices mexicaines', '1 pincée coriandre']"
"Chou vert à la crème, cabillaud et riz.html","['130 g chou vert', '20 g cabillaud', '20 g riz', '1 c. à soupe crème', '½  citron(s)']"
Chou-fleur à l’indienne.html,"['20 g riz', '20 g lentilles corail', '80 g chou-fleur', '50 g coulis de tomates', '¼  oignon(s)', '1 pincée garam masala ', ""1 c. à café huile d'olive"", '1 c. à café huile(s) végétale(s)']"
"Chou-fleur, patate douce et carotte au curry.html","['80 g chou-fleur', '80 g patate(s) douce(s)', '80 g carotte(s)', '1 c. à soupe coulis de tomates', '1 c. à café huile(s) végétale(s)', '1 pincée curry']"
"Classique petits pois carottes, en purée.html","['80 g petits pois', '130 g carotte(s)', '10 g oignon(s)', '1 c. à café huile(s) végétale(s)']"
Classique petits pois carottes.html,"['100 g petits pois', '150 g carotte(s)', '10 g oignon(s)', '1 c. à café huile(s) végétale(s)']"
"Colin vapeur, purée de courge butternut au curcuma et semoule.html","['15 g colin', '175 g butternut', '25 g semoule de couscous', '  citron(s)', '1 c. à café huile(s) végétale(s)', '1 pincée curcuma']"
Conchigliettes crémeuses au chou-fleur et lieu jaune.html,"['150 g chou-fleur', '30 g conchigliettes', '20 g lieu jaune', '1 c. à café crème']"
Cookies au brocoli poire et saumon.html,"['150 g brocoli', '30 g quinoa', '25 g poire(s)', '10 g saumon', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)']"
Cookies betterave quinoa pomme.html,"['150 g betterave(s)', '30 g quinoa', '25 g pomme(s)', '2 c. à soupe fécule de maïs', '1 c. à café jus de citron', '1 c. à café huile(s) végétale(s)', '  coriandre']"
Cookies de betterave et navet.html,"['75 g betterave(s)', '75 g navet(s)', '50 g fromage blanc', '50 g fécule de maïs', '50 g farine', '30 g poulet', '1 c. à café poudre à lever', '  herbes aromatiques']"
Cookies de betterave quinoa saumon et pomme.html,"['150 g betterave(s)', '2 c. à soupe fécule de maïs', '30 g quinoa', '25 g pomme(s)', '10 g saumon', '1 c. à café jus de citron', '1 c. à café huile(s) végétale(s)', '  coriandre']"
Cookies moelleux carottes – petits pois.html,"['250 g carotte(s)', '120 g petits pois', '1  oeuf(s)', '1 c. à café huile d’olive', '100 g farine']"
Courge spaghetti à la carbonara.html,"['250 g courge spaghetti', '20 g jambon blanc', '¼  oignon(s)', '1 c. à soupe crème fraîche', ""1 c. à café huile d'olive""]"
Courge spaghetti à la sauce tomates.html,"['250 g courge spaghetti', '60 g coulis de tomates', '¼  oignon(s)', ""1 c. à café huile d'olive"", '  herbes aromatiques']"
Courgettes au basilic et oeuf brouillé.html,"['250 g courgette(s)', '⅓  oeuf(s)', ""1 c. à café huile d'olive"", '2 feuilles basilic']"
Courgettes et basilic au quinoa.html,"['15 g quinoa', '150 g courgette(s)', '1 feuille(s) basilic', ""1 c. à café huile d'olive""]"
Courgettes gratinées au parmesan.html,"['1  courgette', '10 g parmesan', '½ c. à café herbes de Provence', '1 c. à soupe huile d’olive']"
Couscous au rutabaga et carottes.html,"['75 g rutabaga(s)', '75 g carotte(s)', '25 g concentré de tomates', '25 g raisins secs', '25 g semoule de couscous', '1 pincée épices', '1 pincée persil', '1 c. à café huile d’olive']"
Couscous aux boulettes de poisson.html,"['75 g rutabaga(s)', '75 g carotte(s)', '25 g concentré de tomates', '25 g raisins secs', '25 g semoule de couscous', '1 pincée épices', '1 c. à café huile d’olive', '50 g topinambour(s)', '25 g poisson', '1 pincée persil']"
Couscous aux légumes.html,"['25 g semoule de couscous', '90 g carotte(s)', '75 g courgette(s)', '10 g ciboule', '1 pincée curcuma', '1 c. à café huile(s) végétale(s)']"
Couscous à l’agneau.html,"['30 g semoule de couscous', '20 g agneau', '40 g carotte(s)', '40 g courgette(s)', '40 g tomate(s)', '40 g navet(s)', '10 g oignon(s)', '1 pincée épices', '1 pincée herbes aromatiques', ""2 c. à café huile d'olive""]"
Couscous de veau aux coings.html,"['½ g coing(s)', '25 g semoule de couscous', '20 g veau', '½ gousse ail', '½ petit oignon(s)', ""1 c. à soupe huile d'olive"", '  épices à couscous']"
Couscous d’agneau aux légumes.html,"['25 g semoule de couscous', '15 g agneau', '40 g carotte(s)', '40 g courgette(s)', '40 g tomate(s)', '40 g navet(s)', '10 g oignon(s)', '1 pincée épices', '1 pincée herbes aromatiques', ""2 c. à café huile d'olive""]"
Couscous végétarien.html,"['30 g semoule de couscous', '40 g carotte(s)', '40 g courgette(s)', '40 g tomate(s)', '40 g navet(s)', '10 g oignon(s)', '1 pincée épices', '1 pincée herbes aromatiques', ""2 c. à café huile d'olive""]"
Couscous végétarien au rutabaga (mouliné).html,"['25 g semoule de couscous', '50 g carotte(s)', '50 g rutabaga(s)', '40 g fruits secs', '20 g coulis de tomates', '1 pincée épices', '1 c. à café huile(s) végétale(s)']"
Craquottes et tartinade de poireaux au thon.html,"['2  craquotte(s)', '100 g poireau(x)', '15 à 20 g thon', '½  yaourt', '1 c. à café huile(s) végétale(s)']"
Crème d’endives au jambon sur lit de patate douce écrasée.html,"['100 g patate(s) douce(s)', '180 g endive(s)', '1 c. à café crème fraîche', '15 g jambon blanc']"
Crémeux de cèpes au riz.html,"['15 g riz', '125 g cèpes', '½  oignon(s) jaune(s)', ""1 c. à café huile d'olive"", '1 c. à café crème', '1 pincée coriandre', '5 g fromage râpé']"
Croquettes courgette fromage de chèvre.html,"['250 g courgette(s)', '20 g fromage de chèvre', '2 c. à soupe fécule de maïs', '2 c. à soupe huile(s) végétale(s)', '1 c. à soupe crème fraîche', '1 pincée(s) curry', '  chapelure']"
Croquettes de brocoli et quinoa au saumon.html,"['150 g brocoli', '20 g saumon', '20 g quinoa', '1 c. à soupe fécule de maïs', ""1 c. à café huile d'olive""]"
"Croquettes de brocoli, quinoa et chèvre.html","['200 g brocoli', '15 g quinoa', '20 g fromage de chèvre', '1 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '1 pincée basilic']"
Croquettes de chou fleur et carottes.html,"['120 g chou-fleur', '60 g carotte(s)', '40 g farine', '1 c. à soupe huile(s) végétale(s)', '  persil', '  chapelure']"
Croquettes de chou-fleur au quinoa et fromage.html,"['150 g chou-fleur', '20 g quinoa', '20 g fromage râpé', '1 c. à soupe fécule de maïs', ""1 c. à café huile d'olive""]"
Croquettes de chou-fleur au quinoa.html,"['250 g chou-fleur', '50 g quinoa', '1 c. à soupe huile d’olive', '2 c. à soupe fécule de maïs', '1 c. à café épices']"
Croquettes de chou-fleur et lentilles corail.html,"['150 g chou-fleur', '15 g lentilles corail', '30 g farine', '1 pincée(s) curry', '1 c. à café huile d’olive']"
Croquettes de navet façon hachis Parmentier de canard.html,"['90 g navet(s)', '90 g pomme(s) de terre', '10 g canard', '1 c. à soupe farine', '1 c. à soupe huile(s) végétale(s)', '  ciboulette', '  chapelure']"
Croquettes de navet à la ciboulette.html,"['90 g navet(s)', '90 g pomme(s) de terre', '1 c. à soupe farine', '1 c. à soupe huile(s) végétale(s)', '  ciboulette', '  chapelure']"
Croquettes de navets au basilic.html,"['150 g navet(s)', '2 c. à soupe farine', '1 c. à soupe huile(s) végétale(s)', '  chapelure', '  basilic']"
Croquettes de navets et pommes de terre.html,"['90 g navet(s)', '90 g pomme(s) de terre', '1 c. à soupe farine', '1 c. à café huile(s) végétale(s)', '  chapelure', '  ciboulette']"
Croquettes de panais et fromage frais.html,"['150 g panais', '30 g farine', '15 g fromage frais', '1 c. à café huile(s) végétale(s)', '1 pincée(s) paprika']"
Croquettes de patate douce et chou-fleur.html,"['100 g chou-fleur', '60 g patate(s) douce(s)', '40 g farine', '  chapelure', ""  huile d'olive""]"
Croquettes de patates douces et carottes.html,"['100 g patate(s) douce(s)', '100 g carotte(s)', '50 g farine', '1 c. à soupe huile(s) végétale(s)', '  chapelure']"
Croquettes de pommes de terre et carottes.html,"['100 g pomme(s) de terre', '100 g carotte(s)', ""50 g farine d'épeautre"", '1 c. à soupe huile(s) végétale(s)', '  ciboulette', '  chapelure']"
Croquettes de pommes de terre et mâche.html,"['100 g pomme(s) de terre', '50 g mâche', '2 c. à soupe farine de maïs', '1 c. à soupe huile(s) végétale(s)', '  chapelure']"
Croquettes de pommes de terre et navet au saumon.html,"['90 g navet(s)', '90 g pomme(s) de terre', '10 g saumon', '1 c. à soupe farine', '  chapelure', '  huile d’olive', '  ciboulette']"
"Croquettes de risotto, purée de mâche et panais.html","['30 g riz pour risotto', '40 g mâche', '100 g panais', '½  oignon(s)', ""  huile d'olive"", '  farine', '  fromage frais']"
"Croquettes de songe, citrouille et sardine.html","['50 g sardine', '125 g songe(s)', '125 g citrouille', '  chapelure', '  huile d’olive']"
Croquettes façon hachis Parmentier.html,"['100 g pomme(s) de terre', '100 g carotte(s)', '10 g boeuf haché', '50 g farine', '10 g oignon(s)', '5 brin(s) ciboulette', '  huile d’olive', '  chapelure']"
Croziflette revisitée au potimarron.html,"['150 g potimarron', '25 g crozets', '20 g reblochon', '20 g jambon de dinde', '¼  oignon(s)', ""1 c. à café huile d'olive"", '1 c. à café crème']"
Crumble au brocoli et jambon.html,"['200 g brocoli', '20 g farine', '10 g beurre', '10 g parmesan', '20 g jambon blanc']"
Crumble au brocoli et parmesan.html,"['200 g brocoli', '20 g farine', '10 g beurre', '10 g parmesan', '10 g fromage frais']"
Crumble au potimarron et panais onctueux.html,"['100 g potimarron', '100 g panais', '15 g farine', '5 g beurre']"
Crumble de butternut et sarrasin aux noisettes.html,"['220 g butternut', '10 g farine de sarrasin', '10 g poudre de noisettes', '10 g beurre']"
Crumble de cabillaud et purée de céleri-rave.html,"['180 g céleri-rave', '15 à 20 g cabillaud', '1 c. à soupe poudre de noisettes', '1 c. à soupe farine', ""1 c. à soupe huile d'olive"", '1 c. à café huile(s) végétale(s)']"
Crumble de potimarron et panais.html,"['120 g potimarron', '100 g panais', '15 g farine', '5 g beurre']"
Crumble fondant de potiron au chèvre.html,"['200 g potiron', '10 g fromage de chèvre', '10 g noisettes en poudre', '10 g farine', '5 g huile(s) végétale(s)']"
Crème de brocoli à l’aneth et cabillaud aux petites pâtes.html,"['150 g brocoli', '20 g pâtes', ""1 c. à soupe huile d'olive"", '2 pincée aneth', '15 g cabillaud', '15 g oignon(s) rouge(s)']"
Crème de brèdes (et petites pâtes).html,"['150 g brèdes', '15 g pâtes', '0.5 petit oignon(s)', '1 gousse(s) ail', '1 c. à soupe lait de coco', '  gingembre frais', '  combava', '  huile d’olive']"
"Crème de butternut, lentilles corail et coco.html","['20 g lentilles corail', '150 g butternut', '2 c. à soupe lait de coco', '40 mL eau']"
